,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
19,Pretties,Scott Westerfeld,239790,10407,3.84,370.0,2005.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Romance', 'Young Adult Teen', 'Adventure', 'Apocalyptic Post Apocalyptic', 'Science Fiction Fantasy']",,,https://www.goodreads.com//book/show/24768.Pretties
20,Eldest,Christopher Paolini,376200,9883,3.99,704.0,2007.0,True,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Dragons', 'Adventure', 'Fantasy Magic', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Science Fiction Fantasy', 'Young Adult Young Adult Fantasy']",4.0,,https://www.goodreads.com//book/show/45978.Eldest
21,Legend,Marie Lu,435246,29892,4.16,305.0,2011.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Romance', 'Fantasy', 'Fiction', 'Adventure', 'Young Adult Teen', 'Audiobook', 'Action']",10.0,,https://www.goodreads.com//book/show/9275658-legend
22,Evermore,Alyson Noel,273199,9854,3.59,301.0,2009.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Paranormal Vampires', 'Fantasy Magic']",2.0,United States,https://www.goodreads.com//book/show/3975774-evermore
23,The Summoning,Kelley Armstrong,163248,6315,4.0,390.0,2008.0,True,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Fantasy Supernatural', 'Fantasy Magic', 'Romance', 'Paranormal Ghosts', 'Shapeshifters Werewolves', 'Fiction']",1.0,United States,https://www.goodreads.com//book/show/2800905-the-summoning
24,Gone,Michael  Grant,185271,10986,3.86,560.0,2008.0,True,"['Young Adult', 'Science Fiction Dystopia', 'Science Fiction', 'Fantasy', 'Fiction', 'Fantasy Paranormal', 'Romance', 'Adventure', 'Fantasy Supernatural', 'Young Adult Teen']",1.0,United States,https://www.goodreads.com//book/show/2536134.Gone
25,Spirit Bound,Richelle Mead,270255,9050,4.33,489.0,2010.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",3.0,United States,https://www.goodreads.com//book/show/6479259-spirit-bound
26,A Great and Terrible Beauty,Libba Bray,218207,9972,3.78,403.0,2003.0,True,"['Fantasy', 'Young Adult', 'Historical Historical Fiction', 'Fiction', 'Historical', 'Fantasy Paranormal', 'Romance', 'Fantasy Magic', 'Young Adult Teen', 'Young Adult Young Adult Fantasy']",2.0,United Kingdom,https://www.goodreads.com//book/show/3682.A_Great_and_Terrible_Beauty
27,The Iron King,Julie Kagawa,202536,12119,3.89,363.0,2010.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Fiction', 'Young Adult Young Adult Fantasy']",2.0,United States,https://www.goodreads.com//book/show/6644117-the-iron-king
28,Last Sacrifice,Richelle Mead,264837,11399,4.37,594.0,2010.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Magic']",1.0,United States,https://www.goodreads.com//book/show/6527740-last-sacrifice
29,The Night Circus,Erin Morgenstern,733059,77424,4.03,391.0,2011.0,False,"['Fantasy', 'Fiction', 'Romance', 'Historical Historical Fiction', 'Fantasy Magic', 'Young Adult', 'Magical Realism', 'Adult', 'Audiobook', 'Historical']",11.0,United Kingdom,https://www.goodreads.com//book/show/9361589-the-night-circus
30,Betrayed,P.C. Cast,248886,5571,3.92,310.0,2007.0,True,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Fantasy Magic']",,United States,https://www.goodreads.com//book/show/676924.Betrayed
31,Wicked Lovely,Melissa Marr,162248,7136,3.69,328.0,2007.0,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Paranormal Fairies', 'Fairies Fae', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic']",3.0,United States,https://www.goodreads.com//book/show/305234.Wicked_Lovely
