title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,minmax_norm_ratings,mean_norm_ratings,genres,award
The Iron Queen,Julie Kagawa,101224,4968,4.19,384,2011,True,6.22,5.87,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy', 'Fiction']",1
Soulless,Gail Carriger,105889,10331,3.88,357,2009,True,4.62,5.07,"['Science Fiction Steampunk', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Fiction', 'Historical Historical Fiction', 'Historical', 'Shapeshifters Werewolves']",4
Dead Witch Walking,Kim Harrison,115634,4939,4.02,416,2004,True,5.34,5.43,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Paranormal Vampires', 'Paranormal Witches', 'Fantasy Magic', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Romance']",0
The Body Finder,Kimberly Derting,53582,3980,3.93,327,2010,True,4.88,5.2,"['Young Adult', 'Fantasy Paranormal', 'Mystery', 'Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Suspense', 'Fantasy Urban Fantasy']",0
The Scorpio Races,Maggie Stiefvater,104471,13190,4.06,409,2011,False,5.55,5.53,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Fantasy Mythology', 'Audiobook', 'Young Adult Young Adult Fantasy', 'Fantasy Paranormal', 'Adventure', 'Young Adult Teen']",10
Naked in Death,J.D. Robb,172950,6290,4.12,306,1995,True,5.86,5.69,"['Mystery', 'Romance', 'Mystery Crime', 'Fiction', 'Romance Romantic Suspense', 'Suspense', 'Thriller', 'Science Fiction', 'Futuristic', 'Thriller Mystery Thriller']",0
Assassin's Apprentice,Robin Hobb,249052,10748,4.15,435,1996,True,6.02,5.76,"['Fantasy', 'Fiction', 'Fantasy Epic Fantasy', 'Fantasy High Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Fantasy Magic', 'Adult', 'Young Adult', 'Audiobook']",3
Lock and Key,Sarah Dessen,143781,5481,4.0,432,2008,False,5.24,5.38,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Young Adult Young Adult Contemporary', 'Young Adult High School', 'Young Adult Coming Of Age']",2
"The Morganville Vampires, Volume 1",Rachel Caine,18125,379,4.35,452,2009,True,7.05,6.28,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Young Adult Fantasy']",0
The Passage,Justin Cronin,197423,19638,4.03,766,2010,True,5.4,5.45,"['Horror', 'Fiction', 'Science Fiction', 'Fantasy', 'Apocalyptic Post Apocalyptic', 'Paranormal Vampires', 'Science Fiction Dystopia', 'Thriller', 'Science Fiction Apocalyptic', 'Fantasy Paranormal']",2
The Final Warning,James Patterson,66296,2661,3.86,256,2008,True,4.52,5.01,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy Paranormal', 'Romance', 'Young Adult Teen', 'Action', 'Childrens']",0
Fade,Lisa McMann,52241,2411,3.91,248,2009,True,4.78,5.14,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fiction', 'Mystery', 'Fantasy Supernatural', 'Young Adult Teen', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance']",0
Thoughtless,S.C. Stephens,135240,9431,4.1,530,2011,True,5.76,5.64,"['Romance', 'New Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult', 'Academic College', 'Music', 'Adult', 'Womens Fiction Chick Lit', 'Fiction']",1
First Test,Tamora Pierce,60415,1523,4.18,240,2000,True,6.17,5.84,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Young Adult Fantasy', 'Adventure', 'Fantasy Magic', 'Childrens Middle Grade', 'Childrens', 'Fantasy High Fantasy', 'Young Adult Teen']",1
The Gargoyle,Andrew Davidson,46820,5593,3.94,468,2008,False,4.93,5.22,"['Fiction', 'Fantasy', 'Historical Historical Fiction', 'Romance', 'Historical', 'Contemporary', 'Gothic', 'Adult', 'Fantasy Paranormal', 'Magical Realism']",2
Onyx,Jennifer L. Armentrout,156859,10577,4.26,421,2012,True,6.59,6.05,"['Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy', 'Science Fiction Aliens', 'Science Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",1
Deception Point,Dan Brown,610483,9711,3.73,556,2002,False,3.84,4.68,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Thriller Mystery Thriller', 'Mystery Crime', 'Adventure', 'Novels', 'Science Fiction', 'Action']",0
Rules of Attraction,Simone Elkeles,84525,3904,4.17,336,2010,True,6.12,5.82,"['Romance', 'Young Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult High School', 'Realistic Fiction', 'Womens Fiction Chick Lit', 'New Adult', 'Young Adult Young Adult Romance', 'Fiction']",3
Redeeming Love,Francine Rivers,224155,12338,4.5,479,2007,False,7.83,6.67,"['Christian Fiction', 'Christian', 'Fiction', 'Romance', 'Historical Historical Fiction', 'Historical', 'Romance Historical Romance', 'Adult', 'Religion Faith', 'Romance Christian Romance']",0
Lover Mine,J.R. Ward,105624,4304,4.39,528,2010,True,7.26,6.39,"['Fantasy Paranormal', 'Romance Paranormal Romance', 'Romance', 'Paranormal Vampires', 'Fantasy', 'Fantasy Urban Fantasy', 'Adult', 'Fiction', 'Adult Fiction Erotica', 'Fantasy Supernatural']",3
Inkdeath,Cornelia Funke,80180,3194,3.93,699,2007,True,4.88,5.2,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Childrens Middle Grade', 'Adventure', 'Fantasy Magic', 'Writing Books About Books', 'European Literature German Literature', 'Young Adult Young Adult Fantasy']",0
Midnight Alley,Rachel Caine,58793,1524,4.09,245,2007,True,5.71,5.61,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0
Undead and Unwed,MaryJanice Davidson,54666,2776,3.81,255,2004,True,4.26,4.89,"['Paranormal Vampires', 'Fantasy Paranormal', 'Romance', 'Fantasy', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy', 'Womens Fiction Chick Lit', 'Humor', 'Fiction', 'Fantasy Supernatural']",1
Prophecy of the Sisters,Michelle Zink,14868,1535,3.55,343,2009,True,2.91,4.21,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Historical Historical Fiction', 'Fantasy Magic', 'Mystery', 'Historical', 'Fantasy Supernatural', 'Fiction', 'Romance']",1
Where She Went,Gayle Forman,265103,20253,4.01,297,2011,True,5.29,5.4,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Music', 'New Adult', 'Young Adult Teen', 'Audiobook', 'Young Adult Young Adult Contemporary']",4
Feast of Fools,Rachel Caine,52068,1334,4.14,242,2008,True,5.97,5.74,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0
Dragonflight,Anne McCaffrey,131329,3469,4.08,299,2005,True,5.66,5.58,"['Fantasy', 'Science Fiction', 'Fantasy Dragons', 'Fiction', 'Science Fiction Fantasy', 'Young Adult', 'Fantasy High Fantasy', 'Adventure', 'Science Fiction Time Travel', 'Romance']",1
A Dirty Job,Christopher Moore,113048,6777,4.02,387,2006,True,5.34,5.43,"['Humor', 'Fiction', 'Fantasy', 'Humor Comedy', 'Fantasy Paranormal', 'Fantasy Urban Fantasy', 'Audiobook', 'Horror', 'Fantasy Supernatural', 'Adult']",1
Stranger in a Strange Land,Robert A. Heinlein,282317,8316,3.92,525,1991,False,4.83,5.17,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction', 'Philosophy', 'Religion', 'Audiobook']",2
The Alchemist,Paulo Coelho,2245394,85811,3.88,197,1993,False,4.62,5.07,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Adventure', 'Inspirational']",4
Secrets of the Dragon Sanctuary,Brandon Mull,77954,3092,4.37,535,2009,True,7.16,6.33,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Fantasy Dragons', 'Fantasy Magic', 'Childrens', 'Young Adult Young Adult Fantasy', 'Childrens Juvenile']",1
Peter and the Starcatchers,Dave Barry,72666,4939,4.03,452,2006,True,5.4,5.45,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Adventure Pirates', 'Retellings', 'Fantasy Magic', 'Audiobook']",8
Easy,Tammara Webber,220658,11781,4.08,336,2012,True,5.66,5.58,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance Contemporary Romance', 'Academic College', 'Fiction', 'Womens Fiction Chick Lit', 'Realistic Fiction', 'Sociology Abuse']",2
The Edge of Never,J.A. Redmerski,143143,11281,4.23,426,2012,True,6.43,5.97,"['Romance', 'New Adult', 'Contemporary', 'Romance Contemporary Romance', 'Young Adult', 'Fiction', 'Womens Fiction Chick Lit', 'Travel Road Trip', 'Adult', 'Love']",0
The Art of Racing in the Rain,Garth Stein,464443,39630,4.21,321,2008,False,6.33,5.92,"['Fiction', 'Animals', 'Contemporary', 'Animals Dogs', 'Audiobook', 'Adult Fiction', 'Adult', 'Book Club', 'Novels', 'Family']",0
One Foot in the Grave,Jeaniene Frost,97256,3818,4.29,357,2008,True,6.74,6.13,"['Fantasy Paranormal', 'Paranormal Vampires', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Romance', 'Fantasy', 'Adult', 'Fantasy Supernatural', 'Fiction', 'Audiobook']",0
The Lies of Locke Lamora,Scott Lynch,241006,15664,4.26,752,2006,True,6.59,6.05,"['Fantasy', 'Fiction', 'Adventure', 'Adult', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Mystery', 'Mystery Crime']",8
An Abundance of Katherines,John Green,467047,24595,3.56,229,2006,False,2.97,4.24,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Realistic Fiction', 'Young Adult Teen', 'Humor', 'Young Adult Coming Of Age', 'Young Adult Young Adult Contemporary', 'Audiobook']",3
Wild Magic,Tamora Pierce,78238,2181,4.26,362,2005,True,6.59,6.05,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Adventure', 'Fantasy High Fantasy', 'Childrens Middle Grade', 'Childrens', 'Fantasy Dragons']",0
Crown of Midnight,Sarah J. Maas,391042,31174,4.39,420,2013,True,7.26,6.39,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Fiction', 'Young Adult Young Adult Fantasy', 'Fantasy High Fantasy', 'New Adult', 'Fairies Fae', 'Adventure']",1
Blood Red Road,Moira Young,61404,5829,3.9,459,2011,True,4.72,5.12,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Apocalyptic Post Apocalyptic', 'Adventure', 'Fiction', 'Young Adult Teen', 'Action']",12
Rapture,Lauren Kate,106389,5782,4.01,466,2012,True,5.29,5.4,"['Young Adult', 'Fantasy', 'Paranormal Angels', 'Romance', 'Fantasy Paranormal', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fiction', 'Fantasy Urban Fantasy', 'Young Adult Teen']",0
Heart-Shaped Box,Joe Hill,113085,8978,3.84,376,2007,False,4.41,4.96,"['Horror', 'Fiction', 'Thriller', 'Fantasy Paranormal', 'Fantasy', 'Paranormal Ghosts', 'Fantasy Supernatural', 'Mystery', 'Audiobook', 'Adult']",5
Dead Beat,Jim Butcher,114268,3692,4.39,517,2006,True,7.26,6.39,"['Fantasy', 'Fantasy Urban Fantasy', 'Fiction', 'Mystery', 'Fantasy Paranormal', 'Fantasy Magic', 'Audiobook', 'Fantasy Supernatural', 'Paranormal Vampires', 'Science Fiction Fantasy']",0
Dark Flame,Alyson Noel,59291,1869,3.73,320,2010,True,3.84,4.68,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Paranormal Vampires']",0
A Certain Slant of Light,Laura Whitcomb,18801,1890,3.83,282,2005,True,4.36,4.94,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Paranormal Ghosts', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Young Adult Teen', 'Fantasy Urban Fantasy']",2
Raven: The Balance: Book Two,Nick Shamhart,325,19,4.78,350,2012,True,9.28,7.39,"['Humor', 'Fantasy Paranormal', 'Horror', 'Paranormal Ghosts', 'Fantasy Supernatural']",0
"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice",Christopher Pike,33503,1681,3.84,594,2009,True,4.41,4.96,"['Fantasy', 'Young Adult', 'Paranormal Vampires', 'Fantasy Paranormal', 'Fiction', 'Romance', 'Thriller', 'Fantasy Supernatural', 'Mystery', 'Young Adult Young Adult Fantasy']",0
Heir of Fire,Sarah J. Maas,326050,26889,4.46,565,2014,True,7.62,6.57,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fiction', 'Fairies Fae', 'New Adult', 'Fantasy High Fantasy', 'Adventure']",1
Isle of Winds,James Fahy,869,166,4.21,265,2015,True,6.33,5.92,"['Fantasy', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Fantasy Magic', 'Childrens', 'Fairies Fae', 'Adventure', 'Fantasy High Fantasy', 'Fantasy Paranormal']",0
Haunted,Chuck Palahniuk,100563,4440,3.6,419,2006,False,3.17,4.34,"['Fiction', 'Horror', 'Short Stories', 'Contemporary', 'Thriller', 'Novels', 'Adult', 'Dark', 'Mystery', 'Literature American']",0
The Throne of Fire,Rick Riordan,175728,6248,4.18,452,2011,True,6.17,5.84,"['Fantasy', 'Fantasy Mythology', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Adventure', 'Childrens', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy']",1
Delirium,Lauren Oliver,431047,26712,3.96,441,2012,True,5.03,5.27,"['Young Adult', 'Science Fiction Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Young Adult Teen', 'Audiobook', 'Apocalyptic Post Apocalyptic', 'Love']",4
Six of Crows,Leigh Bardugo,400727,48720,4.44,465,2015,True,7.52,6.51,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Young Adult Fantasy', 'Adventure', 'Fantasy Magic', 'LGBT', 'Romance', 'Fantasy High Fantasy', 'Audiobook']",11
The Merchant of Death,D.J. MacHale,47551,1986,3.95,375,2002,True,4.98,5.25,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction', 'Adventure', 'Childrens Middle Grade', 'Childrens', 'Young Adult Young Adult Fantasy', 'Young Adult Teen', 'Fantasy Magic']",0
Ink Exchange,Melissa Marr,61312,3052,3.68,325,2008,True,3.59,4.55,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Paranormal Fairies', 'Fairies Fae', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Magic']",0
Middlesex,Jeffrey Eugenides,594012,23584,4.01,529,2003,False,5.29,5.4,"['Fiction', 'Historical Historical Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Novels', 'Classics', 'Literature', 'GLBT Queer', 'Adult']",5
The Iron Knight,Julie Kagawa,80765,4720,4.18,400,2011,True,6.17,5.84,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Paranormal', 'Fairies Fae', 'Paranormal Fairies', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy', 'Fiction']",1
Lord of Misrule,Rachel Caine,46338,1156,4.15,246,2009,True,6.02,5.76,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0
Die for Me,Amy Plum,54424,4494,3.97,341,2011,True,5.09,5.3,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Romance Paranormal Romance', 'Horror Zombies', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction', 'Young Adult Young Adult Paranormal']",0
Cry Wolf,Patricia Briggs,90958,4000,4.11,294,2008,True,5.81,5.66,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Romance Paranormal Romance', 'Shapeshifters Werewolves', 'Paranormal Shapeshifters', 'Fiction', 'Fantasy Supernatural', 'Adult']",2
Cress,Marissa Meyer,295422,27706,4.42,552,2014,True,7.41,6.46,"['Young Adult', 'Fantasy', 'Science Fiction', 'Romance', 'Retellings', 'Science Fiction Dystopia', 'Fiction', 'Fantasy Fairy Tales', 'Audiobook', 'Adventure']",2
The Demon King,Cinda Williams Chima,73749,5302,4.12,506,2009,True,5.86,5.69,"['Fantasy', 'Young Adult', 'Fantasy Magic', 'Fantasy High Fantasy', 'Young Adult Young Adult Fantasy', 'Romance', 'Fiction', 'Adventure', 'Childrens', 'Fantasy Epic Fantasy']",0
Storm Front,Jim Butcher,309463,17068,3.99,355,2000,True,5.19,5.35,"['Fantasy', 'Fantasy Urban Fantasy', 'Mystery', 'Fiction', 'Fantasy Paranormal', 'Fantasy Magic', 'Audiobook', 'Fantasy Supernatural', 'Science Fiction Fantasy', 'Mystery Crime']",1
Gabriel's Inferno,Sylvain Reynard,147188,8361,4.0,506,2011,True,5.24,5.38,"['Romance', 'Romance Contemporary Romance', 'Contemporary', 'Adult Fiction Erotica', 'Adult', 'New Adult', 'Academic College', 'Fiction', 'Romance Erotic Romance', 'Womens Fiction Chick Lit']",1
Fade Out,Rachel Caine,38247,928,4.19,237,2009,True,6.22,5.87,"['Paranormal Vampires', 'Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance', 'Fantasy Supernatural', 'Fiction', 'Romance Paranormal Romance', 'Young Adult Teen']",0
The Immortal Rules,Julie Kagawa,69209,6127,4.06,485,2012,True,5.55,5.53,"['Paranormal Vampires', 'Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Science Fiction Dystopia', 'Romance', 'Fantasy Urban Fantasy', 'Apocalyptic Post Apocalyptic', 'Fantasy Supernatural', 'Fiction']",1
Disney After Dark,Ridley Pearson,25893,2678,3.91,326,2005,True,4.78,5.14,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Mystery', 'Science Fiction', 'Fantasy Magic', 'Childrens Juvenile']",1
Dark Visions,L.J. Smith,37253,1109,4.19,732,2009,True,6.22,5.87,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Paranormal Vampires', 'Romance Paranormal Romance', 'Fiction', 'Fantasy Urban Fantasy', 'Fantasy Magic']",0
Reached,Ally Condie,148186,11317,3.56,512,2012,True,2.97,4.24,"['Young Adult', 'Science Fiction Dystopia', 'Romance', 'Science Fiction', 'Fiction', 'Fantasy', 'Young Adult Teen', 'Audiobook', 'Adventure', 'Apocalyptic Post Apocalyptic']",0
The People of Sparks,Jeanne DuPrau,52364,3554,3.68,338,2004,True,3.59,4.55,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Childrens Middle Grade', 'Apocalyptic Post Apocalyptic', 'Childrens', 'Adventure', 'Young Adult Teen']",0
We Were Liars,E. Lockhart,540354,56731,3.84,242,2014,False,4.41,4.96,"['Young Adult', 'Contemporary', 'Mystery', 'Fiction', 'Romance', 'Realistic Fiction', 'Thriller Mystery Thriller', 'Thriller', 'Audiobook', 'Young Adult Teen']",11
The Forbidden Game,L.J. Smith,21262,1076,4.19,750,2010,True,6.22,5.87,"['Young Adult', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Supernatural', 'Horror', 'Fiction', 'Fantasy Magic', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance']",0
The Golden Lily,Richelle Mead,112531,6476,4.29,418,2012,True,6.74,6.13,"['Young Adult', 'Paranormal Vampires', 'Fantasy', 'Fantasy Paranormal', 'Romance', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fiction']",1
Switch! The Lost Kingdoms of Karibu,Karen  Prince,482,77,4.14,276,2012,True,5.97,5.74,"['Fantasy', 'Young Adult', 'Humor', 'Adventure', 'Fantasy Magic', 'Childrens Middle Grade', 'Fantasy Mythology', 'Childrens', 'Cultural Africa', 'Young Adult Teen']",1
Found,Margaret Peterson Haddix,37588,3840,3.98,320,2008,True,5.14,5.33,"['Science Fiction', 'Young Adult', 'Mystery', 'Science Fiction Time Travel', 'Fantasy', 'Fiction', 'Childrens Middle Grade', 'Adventure', 'Childrens', 'Historical Historical Fiction']",10
Drowned Tomb,James Fahy,496,105,4.43,0,2016,True,7.47,6.49,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic']",0
A Court of Mist and Fury,Sarah J. Maas,418366,46946,4.61,626,2016,True,8.4,6.95,"['Fairies Fae', 'Young Adult Young Adult Fantasy', 'Audiobook', 'Romance Fantasy Romance', 'Paranormal Fairies', 'Adult', 'Romance Paranormal Romance', 'Fantasy', 'Science Fiction Fantasy', 'Action']",1
Bel Canto,Ann Patchett,248957,15617,3.92,318,2005,False,4.83,5.17,"['Fiction', 'Contemporary', 'Literary Fiction', 'Book Club', 'Novels', 'Music', 'Adult Fiction', 'Literature', 'Adult', 'Historical Historical Fiction']",5
Everlost,Neal Shusterman,30619,2866,3.96,320,2006,True,5.03,5.27,"['Fantasy', 'Young Adult', 'Fantasy Paranormal', 'Fiction', 'Fantasy Supernatural', 'Paranormal Ghosts', 'Science Fiction', 'Adventure', 'Young Adult Teen', 'Death']",1
Red Rising,Pierce Brown,268552,26585,4.24,382,2014,True,6.48,6.0,"['Science Fiction', 'Fantasy', 'Young Adult', 'Science Fiction Dystopia', 'Fiction', 'Audiobook', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Space']",2
Garden Spells,Sarah Addison Allen,91890,10166,4.04,304,2007,True,5.45,5.48,"['Fiction', 'Magical Realism', 'Fantasy', 'Romance', 'Womens Fiction Chick Lit', 'Fantasy Magic', 'Contemporary', 'Adult', 'Adult Fiction', 'Fantasy Paranormal']",0
Sweet Evil,Wendy Higgins,75672,5490,4.07,447,2012,True,5.6,5.56,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Paranormal Angels', 'Paranormal Demons', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",1
Kiss of Midnight,Lara Adrian,62304,2946,3.92,402,2007,True,4.83,5.17,"['Romance Paranormal Romance', 'Fantasy Paranormal', 'Paranormal Vampires', 'Romance', 'Fantasy', 'Fantasy Urban Fantasy', 'Adult', 'Fiction', 'Fantasy Supernatural', 'Adult Fiction Erotica']",0
His Majesty's Dragon,Naomi Novik,84850,6677,4.03,356,2006,True,5.4,5.45,"['Fantasy', 'Fantasy Dragons', 'Historical Historical Fiction', 'Fiction', 'Historical', 'Science Fiction Alternate History', 'Adventure', 'Historical Fiction Historical Fantasy', 'Science Fiction Fantasy', 'Young Adult']",3
Kushiel's Dart,Jacqueline Carey,77320,4191,3.99,901,2003,True,5.19,5.35,"['Fantasy', 'Romance', 'Fiction', 'Fantasy Epic Fantasy', 'Adult Fiction Erotica', 'Adult', 'Science Fiction Fantasy', 'Fantasy High Fantasy', 'Erotica BDSM', 'Adventure']",3
Nevermore,Kelly Creagh,29578,2584,3.86,543,2010,True,4.52,5.01,"['Young Adult', 'Fantasy Paranormal', 'Fantasy', 'Romance', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Horror', 'Fantasy Urban Fantasy', 'Fiction', 'Paranormal Ghosts']",0
The Law of Attraction,N.M. Silber,11047,892,3.76,0,2013,True,4.0,4.76,"['Romance', 'Romance Contemporary Romance', 'Contemporary', 'Humor', 'Womens Fiction Chick Lit', 'Adult', 'New Adult', 'Adult Fiction Erotica', 'Mystery', 'Law']",0
The House of Hades,Rick Riordan,289332,15687,4.52,597,2013,True,7.93,6.72,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Childrens Middle Grade', 'Fiction', 'Adventure', 'Mythology Greek Mythology', 'Childrens', 'Fantasy Urban Fantasy', 'Romance']",1
Go Ask Alice,Beatrice Sparks,242607,10970,3.76,213,2006,False,4.0,4.76,"['Young Adult', 'Fiction', 'Classics', 'Contemporary', 'Realistic Fiction', 'Young Adult Teen', 'Health Mental Health', 'Literature Banned Books', 'Young Adult Coming Of Age', 'Psychology']",0
A Confederacy of Dunces,John Kennedy Toole,239776,15591,3.88,394,1994,False,4.62,5.07,"['Fiction', 'Classics', 'Humor', 'Literature', 'Humor Comedy', 'Novels', 'Literature American', 'Literary Fiction', 'Audiobook', 'Contemporary']",3
Unravel Me,Tahereh Mafi,187534,16551,4.21,461,2013,True,6.33,5.92,"['Young Adult', 'Science Fiction Dystopia', 'Fantasy', 'Romance', 'Science Fiction', 'Fantasy Paranormal', 'Fiction', 'New Adult', 'Young Adult Young Adult Fantasy', 'Apocalyptic Post Apocalyptic']",1
The Way of Shadows,Brent Weeks,154511,5209,4.13,645,2008,True,5.91,5.71,"['Fantasy', 'Fiction', 'Fantasy Epic Fantasy', 'Fantasy Magic', 'Fantasy High Fantasy', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'Adult', 'Fantasy Dark Fantasy']",2
The Maze of Bones,Rick Riordan,77711,4862,3.85,220,2008,True,4.47,4.99,"['Mystery', 'Adventure', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Childrens', 'Fantasy', 'Childrens Juvenile', 'Audiobook', 'Action']",0
The Spellman Files,Lisa Lutz,32466,3727,3.88,6,2008,True,4.62,5.07,"['Mystery', 'Fiction', 'Humor', 'Womens Fiction Chick Lit', 'Thriller Mystery Thriller', 'Adult', 'Adult Fiction', 'Mystery Crime', 'Contemporary', 'Humor Comedy']",5
The Wales Boy (Angelica Grace Trilogy #1),Rachel M. Greenebaum Moretti,148,65,4.33,216,2020,False,6.95,6.23,"['Young Adult', 'Fantasy', 'Romance Paranormal Romance', 'Fantasy Paranormal', 'Romance']",0
Skulduggery Pleasant,Derek Landy,57350,4395,4.13,392,2007,True,5.91,5.71,"['Fantasy', 'Young Adult', 'Mystery', 'Fiction', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Adventure', 'Childrens Middle Grade', 'Fantasy Paranormal', 'Childrens']",8
Opal,Jennifer L. Armentrout,131943,9543,4.27,394,2012,True,6.64,6.08,"['Young Adult', 'Fantasy Paranormal', 'Romance', 'Fantasy', 'Science Fiction Aliens', 'Science Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",1
