title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,minmax_norm_ratings,mean_norm_ratings,genres,award
The Amulet of Samarkand,Jonathan Stroud,121487,5190,4.0,462,2003,True,5.24,5.38,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Magic', 'Childrens Middle Grade', 'Childrens', 'Adventure', 'Fantasy Urban Fantasy', 'Young Adult Young Adult Fantasy', 'Audiobook']",2
The Two Princesses of Bamarre,Gail Carson Levine,68857,2473,4.03,304,2004,True,5.4,5.45,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy Fairy Tales', 'Childrens Middle Grade', 'Childrens', 'Romance', 'Adventure', 'Fantasy Magic', 'Fantasy Dragons']",2
The Witching Hour,Anne Rice,104682,3810,4.1,1207,2004,True,5.76,5.64,"['Fantasy', 'Fiction', 'Fantasy Paranormal', 'Paranormal Witches', 'Fantasy Supernatural', 'Gothic', 'Fantasy Urban Fantasy', 'Fantasy Magic', 'Adult', 'Historical Historical Fiction']",1
Forever,Maggie Stiefvater,115964,8195,3.88,390,2011,True,4.62,5.07,"['Young Adult', 'Fantasy', 'Romance', 'Fantasy Paranormal', 'Shapeshifters Werewolves', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Animals Wolves']",1
A Court of Thorns and Roses,Sarah J. Maas,594297,55088,4.21,419,2015,True,6.33,5.92,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Retellings', 'Fairies Fae', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy Paranormal']",2
The Forest of Hands and Teeth,Carrie Ryan,83573,8818,3.59,310,2009,True,3.12,4.32,"['Young Adult', 'Horror Zombies', 'Horror', 'Science Fiction Dystopia', 'Fantasy', 'Fiction', 'Apocalyptic Post Apocalyptic', 'Romance', 'Fantasy Paranormal', 'Science Fiction']",2
The Eye of the World,Robert Jordan,412173,13680,4.17,814,1990,True,6.12,5.82,"['Fantasy', 'Fiction', 'Fantasy Epic Fantasy', 'Fantasy High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Adult', 'Audiobook', 'Fantasy Magic', 'Epic']",1
Tithe,Holly Black,85220,4557,3.72,332,2004,True,3.79,4.65,"['Fantasy', 'Young Adult', 'Fantasy Urban Fantasy', 'Fantasy Paranormal', 'Fiction', 'Paranormal Fairies', 'Romance', 'Fairies Fae', 'Young Adult Young Adult Fantasy', 'Fantasy Magic']",2
The Secret History,Donna Tartt,348003,26264,4.1,559,2004,False,5.76,5.64,"['Fiction', 'Mystery', 'Contemporary', 'Literary Fiction', 'Thriller', 'Classics', 'Adult', 'Mystery Crime', 'Thriller Mystery Thriller', 'Novels']",2
The Last Battle,C.S. Lewis,235137,6923,4.01,288,2005,True,5.29,5.4,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Childrens Middle Grade', 'Christian Fiction', 'Science Fiction Fantasy']",2
Starcrossed,Josephine Angelini,68583,5224,4.03,487,2011,True,5.4,5.45,"['Fantasy', 'Young Adult', 'Fantasy Mythology', 'Romance', 'Fantasy Paranormal', 'Mythology Greek Mythology', 'Romance Paranormal Romance', 'Fantasy Supernatural', 'Fantasy Urban Fantasy', 'Fiction']",0
Across the Universe,Beth Revis,116334,10355,3.77,399,2011,True,4.05,4.78,"['Young Adult', 'Science Fiction', 'Science Fiction Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Mystery', 'Space', 'Young Adult Teen', 'Adventure']",4
Saving the World and Other Extreme Sports,James Patterson,88235,2692,4.15,405,2007,True,6.02,5.76,"['Young Adult', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy Paranormal', 'Romance', 'Action', 'Young Adult Teen', 'Fantasy Urban Fantasy']",0
Shadow and Bone,Leigh Bardugo,405542,43564,3.98,358,2012,True,5.14,5.33,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Fantasy Magic', 'Young Adult Young Adult Fantasy', 'Fantasy High Fantasy', 'Adventure', 'Fantasy Paranormal', 'Audiobook']",9
Gregor the Overlander,Suzanne Collins,97336,6565,3.99,326,2005,True,5.19,5.35,"['Fantasy', 'Young Adult', 'Childrens Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Childrens Juvenile', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy']",5
